Wall time,Step,Value
1715921140.477098,3,4.046482086181641
1715921147.432585,4,4.011107444763184
1715921218.756793,14,3.482651948928833
1715921225.556677,15,3.365230083465576
1715921246.504301,18,2.9614551067352295
1715921253.176384,19,2.812471389770508
1715921261.5585332,20,2.6612277030944824
1715921276.26287,22,2.3959860801696777
1715921283.3292952,23,2.2893662452697754
1715921303.896553,26,2.0108344554901123
1715921310.920973,27,1.9383198022842407
1715921403.915982,40,1.3397369384765625
1715921453.631132,47,1.1320279836654663
1715921461.602829,48,1.0924025774002075
1715921468.457555,49,1.077293038368225
1715921482.443315,51,1.0423606634140015
1715921503.146255,54,0.9798396825790405
1715921524.376035,57,0.9398781657218933
1715921547.053975,60,0.9015472531318665
1715921553.768342,61,0.8975152969360352
1715921560.6241941,62,0.8973881006240845
1715921568.45688,63,0.8661001324653625
1715921589.8970869,66,0.8439267873764038
1715921596.721736,67,0.8527924418449402
1715921603.737828,68,0.8275336027145386
1715921617.142466,70,0.8351200222969055
1715921624.07202,71,0.8134616613388062
1715921667.274472,77,0.7768566012382507
1715921703.5988522,82,0.7679777145385742
1715921753.160127,89,0.7177771329879761
1715921826.1161191,99,0.701567530632019
1715921856.781187,103,0.6903195381164551
1715921878.134764,106,0.6910597085952759
1715921885.2572732,107,0.6812306642532349
1715921900.158456,109,0.7046931982040405
1715921950.054472,116,0.6748595237731934
1715921987.9506931,121,0.6587395071983337
1715922016.750347,125,0.6546198129653931
1715922024.1670861,126,0.660246729850769
1715922038.0308638,128,0.650439441204071
1715922052.260869,130,0.660796046257019
1715922096.363759,136,0.6469354629516602
1715922103.598361,137,0.6372795104980469
1715922155.366063,144,0.6324551701545715
1715922169.322249,146,0.6318143606185913
1715922176.446229,147,0.6326716542243958
1715922198.888261,150,0.6360180974006653
1715922249.559305,157,0.6224557757377625
1715922272.817064,160,0.6087633967399597
1715922286.700906,162,0.617377758026123
1715922301.1855948,164,0.6072942018508911
1715922343.770866,170,0.60356605052948
1715922351.5080872,171,0.619591474533081
